Oil Exporting Countries Data (2000-2020),,,,,,,,,,
Country,Years,GDP/Capita (USD Thousand),Oil Rent,Debt to GDP Ratio,HDI,Democracy Index,Civil Rights/Freedom Indexes,Gini Coefficient,Oil Export ,Oil Production
Saudi Arabia,2000,8795.2606,41.6691708,87.2,0.737,,,,6253,8095
Saudi Arabia,2001,8337.32272,33.3526627,93.7,0.744,,,,6036,7889
Saudi Arabia,2002,8380.9593,31.3424478,96.9,0.75,,,,5285,7093
Saudi Arabia,2003,9321.80387,37.034522,82,0.76,,,,6523,8410
Saudi Arabia,2004,10935.0166,42.6409301,65,0.77,,,,6813,8897
Saudi Arabia,2005,13462.763,48.8606315,37.35,0.78,,,,7209,9353
Saudi Arabia,2006,14848.6021,49.6700973,25.83,0.787,1.92,,,7029,9208
Saudi Arabia,2007,15756.1936,47.439443,17.11,0.794,,,,6962,8816
Saudi Arabia,2008,18944.8573,54.085801,12.06,0.802,1.9,,,7302,9198
Saudi Arabia,2009,15064.6313,34.6315417,13.99,0.807,,,,6268,8184
Saudi Arabia,2010,17958.9478,37.9011314,8.4,0.816,1.84,4.85,,6644,8166
Saudi Arabia,2011,22441.5711,49.1612189,5.4,0.828,1.77,,,7218,9311
Saudi Arabia,2012,24069.2033,47.4093852,3.1,0.837,1.71,4.53,,7557,9763
Saudi Arabia,2013,23945.5123,44.4564985,2.1,0.845,1.82,,,7571,9637
Saudi Arabia,2014,23862.8012,40.321969,1.6,0.852,1.82,4.51,,7153,9713
Saudi Arabia,2015,20442.3661,23.9567993,5.8,0.859,1.93,,,7163,10193
Saudi Arabia,2016,19930.4075,20.0051771,13.1,0.864,1.93,4.5,,7463,10460
Saudi Arabia,2017,20910.483,23.6170719,17.2,0.86,1.93,,,6968,9959
Saudi Arabia,2018,24175.5831,28.0842812,19,0.865,1.93,,42,7372,10317
Saudi Arabia,2019,23405.7061,24.329578,22.8,0.873,1.93,4.7,43,7038,9808
Saudi Arabia,2020,20398.061,15.9789108,32.5,0.87,2.8,4.52,43,6659,9213
Russia ,2000,1771.59412,15.3559938,62.1488889,0.732,,5.54,37.1,3150,6246
Russia ,2001,2100.35254,10.3003624,48.9836153,0.74,,,36.9,3300,6727
Russia ,2002,2377.52954,10.4623662,41.3527169,0.746,,5.47,37.3,3953,7402
Russia ,2003,2975.123047,10.9344981,,0.754,,,40,4520,8122
Russia ,2004,4102.36475,11.6957615,,0.761,,5.51,40.3,5211,8803
Russia ,2005,4102.36475,13.6868637,16.6608684,0.764,,,41.3,5222,9045
Russia ,2006,6920.19971,12.4450133,9.89107286,0.775,4.48,5.82,41,5106,9242
Russia ,2007,9101.23926,10.7326207,7.15843012,0.786,,,42.3,5172,9437
Russia ,2008,11635.28418,12.3954143,6.49528744,0.791,4.48,5.96,41.6,5120,9356
Russia ,2009,8562.82422,9.19214468,8.69786634,0.789,,,39.8,4968,9493
Russia ,2010,10674.9902,8.57128659,9.09810564,0.796,4.26,5.93,39.5,4978,9694
Russia ,2011,14311.0645,10.6778918,8.64108194,0.808,3.92,,39.7,4786,9787
Russia ,2012,15420.8584,9.61307624,8.551408593,0.811,3.74,6.06,40.7,4757,9953
Russia ,2013,15974.623,8.68048262,9.06725564,0.817,3.59,,40.9,4689,10047
Russia ,2014,14095.6465,9.08748946,11.2004613,0.818,3.39,5.94,39.9,4488,10087
Russia ,2015,9313.02148,5.93285842,13.5407658,0.824,3.31,,37.7,4899,10111
Russia ,2016,8704.89453,5.0061366,14.2417396,0.828,3.24,6.05,36.8,5079,10292
Russia ,2017,10720.332,6.22864519,16.3253741,0.833,3.17,,37.2,5058,10190
Russia ,2018,11287.3545,9.65476096,16.168579,0.841,2.94,,37.5,5207,10355
Russia ,2019,11536.2588,8.49370743,17.2760484,0.845,3.31,6.03,37.7,5241,10390
Russia ,2020,10194.4414,4.70777097,22.992021,0.83,3.31,5.93,36,4617,9409
Canada ,2000,24271.0021,1.47117947,58.7379742,0.89,,,33.4,1180,1392
Canada ,2001,23821.4456,0.85885751,57.4583565,0.892,,,33.6,1148,1377
Canada ,2002,24255.3386,0.95594344,54.1491195,0.894,,,33.6,1154,1446
Canada ,2003,28300.4631,1.12578576,51.2713371,0.897,,,33.8,1232,1459
Canada ,2004,32143.6814,1.49755944,46.8009858,0.901,,,33.8,1355,1405
Canada ,2005,36382.5079,1.78498681,46.0616514,0.903,,,33.6,1372,1360
Canada ,2006,40504.0607,1.79784487,43.2916782,0.907,9.07,,34.1,1440,1346
Canada ,2007,44659.8951,1.7957286,39.1585639,0.908,,,33.8,1506,1388
Canada ,2008,46710.5056,2.54002352,45.3205113,0.91,9.07,8.86,33.9,1551,1349
